conv_num,experience_type,emotion_type,problem_type,situation,speaker,strategy,message,seeker_survey_empathy,seeker_survey_relevance,seeker_survey_initial_emotion,seeker_survey_final_emotion,supporter_survey_relevance,seeker_question1,seeker_question2,supporter_question1,supporter_question2
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Providing Suggestions,I see. Have you spoken to HR?,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,"I have, but they are telling me that it is up to my department manager who isn't actually getting back to me about it yet.",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Restatement or Paraphrasing,Your department manager is not answering you?,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,"No, I have sent them a few emails about it. It makes me nervous. I do not have a phone number to call and my psychiatrist really does not think I am ready to go back to the stress of my job.",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,"I wish I could just call him, but I do not have a phone number for him. Just his email.",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Providing Suggestions,Have you tried mentioning that to HR?,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,HR is the one who gave me his email.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,"I don't think he has a direct work line, and they're not allowed to give out personal information.",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Information,Yes that is how most employments work about providing personal information.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Reflection of feelings,That in itself causes anxiety to most since other forms of communication is not possible especially if they are not responding to ciritcal matters.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,"Yes! 100%. Every time my phone rings I get nervous that I'm being fired and I'm worried I made a mistake going out on disability. I needed to though, but I'm nervous.",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Affirmation and Reassurance,No you should not have to feel you made a mistake for the time you are taking out of work for a necessity.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SEEKER,,"Thank you for saying that. That does make me feel better. It sucks sometimes we have to choose between our health and our jobs. We don't get paid to take care of our health though, we only get paid to work.",5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
1,Current Experience,anxiety,job crisis,I am on short term disability and I am afraid I will lose my job if I don't go back soon.,SUPPORTER,Others,You know yourself more than anybody and you need to take care of yourself.,5,5,3,2,5,"They did a great job, but should've asked why I'm out on disability to get more context.",N.A,I enjoyed helping someone in need,
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Question,How are you doing today?,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,hello I am ok how are you?,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Question,"I am well, what's on your mind?",4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,well as I stated above my father passed last year and now due to finances we need to move. I am out of work due to Covid19 it is hard moving not being able to support my family,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Affirmation and Reassurance,"So sorry to hear about your plight. Life is a roller coaster and sometimes it gets out of control, I hope things slow down so you can get things straightened out.",4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,thank you! I find myself so stressed then I get scared and depressed wondering what will the future hold will we be ok will we take another hit will I get sick will my Mother be ok,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Restatement or Paraphrasing,"I understand your concerns about being stressed, scared and depressed. The risk of family getting sick is certainly valid.",4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,it keeps me up at night and I cant seem to get away form it even for a moment,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Self-disclosure,"I too worry about things I feel I cannot control, the lack of sleep due to this just makes it worse so I try to think of positive things, but its hard.",4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,yes and its always in the back of my mind burning. Like don't be to happy because things are going to fail,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Affirmation and Reassurance,"Its hard to stop those negative thoughts, but the first step is sharing your feelings with others and talking about it. You are now on your way to healing.",4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,It does help to talk about it with someone who doesn't judge,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Reflection of feelings,I can see in your words how stressed you are and troubled.,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,This whole covid thing makes it 10 times worse,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Information,May I suggest that you seek some face to face support from a best friend or close family member.,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,easier said then done I'm high risk so I have been social distancing,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Information,"Its still possible. Social distancing, six feet away but in maybe your backyard or even a park away from others so you can talk with some degree of confidence that its private. Just being around another person is so very supportive and positive. Please try.",4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,maybe but I need to be carful plus honest I dont want many people to know about my feelings,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Providing Suggestions,"True. Remember, you are not the only one facing these troubles, others are tackling it too. Try also to google online support groups on Reddit and blogs for additional assistance and suggestions from those who faced it and succeeded. Doing what others did to overcome it means not having to reinvent the whole process on your own.",4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,maybe an online chat group,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Affirmation and Reassurance,That's the way to go. Keep seeking help. The right solution is there for you. Now you have a plan to get started.,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,well I don't know if its a plan but an idea just knowing I'm not alone helps,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Reflection of feelings,"Yes, it a problem so many people are facing.",4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Self-disclosure,My own family members are facing this too.,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,yes I know and with covid so many are depressed stressed and sad,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Information,I read a few articles on Psychology today website that might help you also. They discuss how to control stress and overcome depression in this world of COVID. Written by some doctors and they are free to read.,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,thanks I will have to look online take your suggestion,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Affirmation and Reassurance,You are welcome. You are on your way.,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,thank you for your kind words,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SUPPORTER,Others,It was my pleasure.,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
2,Current Experience,depression,ongoing depression,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,SEEKER,,I will look online for the info you suggested I will see if maybe I can talk to a friend if we can do safely thanks again,4,5,4,3,5,it was a good task kind of makes you look at your self,no was a good one thank you,The guidance as to how to structure the conversation helped me frame my advice.,I wish I could have used emoji's to add some additional emotional graphics to my text.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Reflection of feelings,I feel obligated to help you this Christmas Night.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,Hello Hello,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Question,Who am I currently speaking with?,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Self-disclosure,"I am Bob, your Christmas Night therapist and helper.",5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Reflection of feelings,I hope I can assist you this Christmas Night.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Information,It takes courage to tell how you are feeling.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,"Hello Bob, nice to meet you",5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,I would like to talk but not sure if I can I will try,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Question,How can I help you?,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,I am a caregiver and i can only come back and forth,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Affirmation and Reassurance,Please do your best. That is all I can expect.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Question,Can you elaborate? What do you mean by that?,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Affirmation and Reassurance,You're doing great by contributing to your own cause on Christmas Night.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Question,Do you like Christmas cookies?,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,My main job started so i am in this room an at the same time i wan to do mTurk and take care of them],5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Information,Bob has some jelly cookies for you.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Reflection of feelings,I feel good asking you about how I can give you true insights on life.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Affirmation and Reassurance,You made the right decision to join and discuss your feelings. Do you like the Christmas Holidays?,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Providing Suggestions,I can suggest Uber or Lyft or Door Dash or Grub Hub for you.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Reflection of feelings,I feel that you can earn and not be so sad and depressed this holiday.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Self-disclosure,"I am baking cookies for others, so don't feel sad. Maybe I can cheer you up with chocolate chip cookies.",5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SUPPORTER,Self-disclosure,I am here to help you in soooo many ways.,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,that is wonderful,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,I love chocolate chip cookie,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,thanks for your encouragemnt,5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
3,Current Experience,anxiety,job crisis,I would like to get an online job  but it is very competitive.,SEEKER,,"I think that already helped,e",5,4,5,3,3,no,no,I think that is was a vague issue that the seeker was asking for help with.,I think that there should be a push notification to continue talking with a message in red that blinks on the screen near the chat box.
